;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Gemeente Bernheze;Naam monteur: ;Jordi Verhagen;;;;;
Locatie:;;Brede school de Kanz;Week: ;Sept. 2015;;;;;
Adres: ;;Maxend 6, Nistelrode;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;-1;Kelder;BSH's;EA;Voor alle BSH's;a;;;
2;-1;Kelder;GGD-hvb+keuken;EA;Bij hoofdleiding;a;;;
3;-1;Kelder;maxend/benjamin;EA;Bij hoofdleiding;a;;;
4;-1;Kelder;de eynderic;EA;Bij hoofdleiding;a;;;
5;-1;Kelder;maxend/benjamin;EA;Bij hoofdleiding;a;;;
6;-1;Kelder;benjamin;EA;Bij hoofdleiding;a;;;
7;-1;Kelder;kleur;EA;Bij hoofdleiding;a;;;
8;BG;keuken;Waterontharder;EA;In kastje;a;;;
9;BG;keuken;Koffie automaat;EA;voor apparaat;a;;;
10;1e;Tech. Ruimte;CV vulkraan;CA;voor kraan;;;;
11;BG;Buiten;Gevelkraan;EA;;a;;;
12;BG;Buiten;Gevelkraan;EA;;a;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;10;Niet controleerbaar, niet correct aangesloten.;;;;;;;
;;;;;;;;;
