;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Gemeente Bernheze;Naam monteur: ;J Verhagen;;;;;
Locatie:;;Brandweerkazerne / gemeentewerf;Week: ;September, 2015;;;;;
Adres: ;;Heeschweg 37 Nistelrode;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Bij watermeter;BSH's ;EA;Bij watermeter;X;;;
4;BG;wasruimte;Slangwartelkraan spoel.;CA;Voor kraan;a;;;
5;BG;wasruimte;Slangwartelkraan spoel.;CA;Voor kraan;a;;;
6;BG;wasruimte;uittapleiding KW;EA;Onder Blad;a;;;
7;BG;wasruimte;uittapleiding WW;EA;Onder Blad;a;;;
9;BG;Werkplaats;Gevelkraan;EA;in werkplaats;a;;;
11;BG;Tech. Ruimte;Oogspoeldouche;EA;in tech. Ruimte;a;;;
12;BG;Tech. Ruimte;CV Vulkraan;CA;in tech. Ruimte;a;;;
13;BG;Tech. Ruimte;WW Circulatieleiding;EA;in tech. Ruimte;a;;;
14;BG;Keuken;Vaatwasser;EB-DA;in kast;a;;;
15;BG;Keuken;Waterkoeler;EA;achter koffie automaat;a;;;
16;BG;Keuken;Koffie automaat;EA;achter automaat;a;;;
20;BG;Loods 2 Tech. Ruimte;Breektank grijs water;Onderbroken;;;;;
21;1e;hal;BSH;;;X;;;
22;1e;kantine;bierspoelleiding;EA;In bar;a;;;
23;1e;kantine;Bierleiding;EA;In bar;a;;;
24;1e;kantine;Koffie automaat;EA;Achter automaat;a;;;
25;1e;kantoren;BSH;;;X;;;
Keerklep:;;Opmerking:;;;;;;;
;;BSH 1,2,3,8,10,17,18,19 zitten op één kk.;;;;;;;
;;BSH 21 en 25 beveiliging niet bekend.;;;;;;;
