;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Gemeente Uden;;;Naam monteur: J. Nederkoorn;;;;;;
Locatie: Hockeyclub Uden;;;Week: Oktober, 2015;;;;;;
Adres: Boekelse dijk 8a, Uden;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;Magazijn bij Boilers;B.S.H;EA;Boven Boiler;JA;ø22;Knel;
2;B.G.;Magazijn bij Boilers;Voeding KW;EA;Naast boilers;JA;ø35;Cap;
3;B.G.;Magazijn bij Boilers;Boiler;EA;Naast boilers;JA;ø22;Knel;
4;B.G.;Magazijn;Tapkraan;EA;Boven deur magazijn;JA;ø15;Knel;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
