;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Gemeente Uden;;;Naam monteur: J. Nederkoorn;;;;;;
Locatie: Udi'19;;;Week: Oktober, 2015;;;;;;
Adres: Parklaan 4, Uden;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;Technische ruimte kl.l.05-06;Voeding douche;EA;In technische ruimte;JA;Ø28;CAP;
2;B.G.;Technische ruimte kl.l.05-06;Voeding douche;EA;In technische ruimte;JA;Ø28;CAP;
3;B.G.;Technische ruimte kl.l.05-06;Voeding douche;EA;In technische ruimte;JA;Ø28;CAP;
4;B.G.;Technische ruimte kl.l.05-06;Vulkraan;EA;In technische ruimte;NEE;1/2;Schroef;
5;B.G.;Technische ruimte midden;Circulatie;EA;Bij boiler;NEE;Ø15;CAP;
6;B.G.;Technische ruimte midden;Vulkraan;EA;Achter kraan;NEE;1/2;Schroef;
7;B.G.;Technische ruimte midden;Circulatie;EA;Naast boiler;JA;Ø22;CAP;
8;B.G.;Technische ruimte kl.l.15;Voeding kw;EA;Naast boiler;NEE;Ø28;CAP;
9;B.G.;Technische ruimte kl.k.15;Vulkraan;CA;Naast boiler;ja;1/2 bi;Schroef;
10;B.G.;Technische ruimte kl.l.15;Circulatie;EA;Boven boiler;JA;Ø15;CAP;
11;B.G.;Materiaal ruimte;Brandslanghaspel;EA;Boven plafond;JA;Ø22;CAP;
12;B.G.;Ketelhuis klk 15;Boiler;Inlaat C.; Naast boiler;JA;Ø22;Knel;
13;B.G.;Tech. Ruimte 09 t/m 14;Boiler;Inlaat C.;Naast boiler;JA;Ø22;Knel;
14;B.G.;Tech. Ruimte 05 - 06;Voeding Boiler;Inlaat C.;Boven deur;JA;Ø22;Knel;
15;B.G.;Tech. Ruimte 05 -06;Circulatie;EA;Boven deur;NEE;Ø15;Knel;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
