;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Gemeente Veghel;;;Naam monteur: M. Gutte;;;;;;
Locatie: Brandweerkazerne Veghel;;;Week: 4 2015;;;;;;
Adres: Stadhuisplein 2, Veghel;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;;Brandslanghaspel 4.01;;;×;;;
2;BG;;Brandslanghaspel 4.02;;;×;;;
3;BG;;Vulpunt tankauto's;EA;In put ingang;a;Ø28;Knel;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
