;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Gemeente Veghel;;;;Naam monteur: M. Gutte;;;;;
Locatie: Gymzaal en Gemeenschapshuis d'n Brak Mariaheide;;;;Week: 4 2015;;;;;
Adres: Hennenberg 3, Mariaheide;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;;Brandslanghaspel 64-0-2;;;a;;;
2;BG;;Brandslanghaspel 64-0-3;;;a;;;
3;BG;;Brandslanghaspel 64-0-6;;;a;;;
4;1e verd.;;Brandslanghaspel 64-1-1;;;a;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
