;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Gemeente Veghel;;;Naam monteur: M. Gutte;;;;;;
Locatie: Kinderdagverblijf Tante Koosje;;;Week: 4 2015;;;;;;
Adres: De Buitendonk 3, Veghel;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;;Brandslanghaspel;;;a;;;
2;B.G.;;Buitenkraan;;;a;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
