;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Gemeente Veghel;;;Naam monteur: M. Gutte;;;;;;
Locatie: Klooster in Zijtaart;;;Week: 4 2015;;;;;;
Adres: Pastoor Clercxstraat 40, Zijtaart;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Restaurant;Brandslanghaspel ;;;a;;;
2;BG;Gang bij conciërge;Brandslanghaspel ;;;a;;;
3;1e verd.;Gang bij klapdeur;Brandslanghaspel ;;;a;;;
4;1e verd.;Gang bij meterkast;Brandslanghaspel ;;;a;;;
5;BG;Gang bij klapdeur;Brandslanghaspel ;;;a;;;
6;BG;Gang bij trap;Brandslanghaspel ;;;a;;;
7;BG;Podiumzaal;Brandslanghaspel ;;;a;;;
8;BG;Gymzaal;Brandslanghaspel ;;;a;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
