;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Gemeente Veghel;;;Naam monteur: M. Gutte;;;;;;
Locatie: Raadhuis Erp;;;Week: 4 2015;;;;;;
Adres: Hertog Janplein 9, Erp;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;;Brandslanghaspel 1;;;a;;;
2;1e verd.;;Brandslanghaspel 2;;;a;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
