;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Gemeente Veghel;;;Naam monteur: M. Gutte;;;;;;
Locatie: Raadhuis Veghel;;;Week: 4 2015;;;;;;
Adres: De Markt 1-2, Veghel;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Ingang;Brandslanghaspel 3.01;;;a;;;
2;BG;Bibliotheek;Brandslanghaspel 3.02;;;a;;;
3;BG;Bij toilet;Brandslanghaspel 3.04;;;a;;;
4;1e verd.;Bij wc;Brandslanghaspel 3-1.1;;;a;;;
5;BG;In restaurant;Buitenkraan;;Buitenkraan bij bibliotheek;a;;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
