;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Gemeente Veghel;;;Naam monteur: M. Gutte;;;;;;
Locatie: Sport- en ontmoetingscentrum 't Span;;;Week: 4 2015;;;;;;
Adres: Kampweg 2, Keldonk;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;;Brandslanghaspel 69-01;;in hal;a;;;
2;BG;;Brandslanghaspel 69-03;;in gymzaal;a;;;
3;BG;;Brandslanghaspel 69-06;;kinderdagverblijf;a;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
