;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Gemeente Veghel;;;Naam monteur: M. Gutte;;;;;;
Locatie: Sporthal de Bunders;;;Week: 4 2015;;;;;;
Adres: De Bunders 1, Veghel;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;;BSH 33.02;;;×;;;
2;BG;;BSH 33.03;;;a;;;
3;BG;;BSH 33.04 en 33.05;;Keerklep T.R. in CV ruimte;a;;;
Keerklep:;;Opmerking:;;;;;;;
1;;Brandslanghaspel niet bruikbaar; kan niet opendraaien -> spindel defect.;;;;;;;
