;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Gemeente Veghel;;;Naam monteur: M. Gutte;;;;;;
Locatie: Wijkgebouw de Golfstroom Veghel;;;Week: 4 2015;;;;;;
Adres: van Diemenstraat 1a, Veghel;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;;Brandslanghaspel 0.1;;;a;;;
2;BG;;Brandslanghaspel 0.2;;Opmerking: spuitkop defect;?;;;
3;BG;;Buitenkraan;EA;In put in gang;a;Ø22;Knel;
Keerklep:;;Opmerking:;;;;;;;
2;;Spuitkop nog steeds defect!;;;;;;;
