;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kleine Meierij;;;Naam monteur: J Verhagen;;;;;;
Locatie: Abdij van Bernepad 1-15;;;Datum: Juli, 2015;;;;;;
Adres: Berlicum;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
0-1;BG;Gang;Brandslanghaspel;EA;;a;;;
0-2;BG;Gang;Brandslanghaspel;EA;;a;;;
1-1;1e verd.;Gang;Brandslanghaspel;EA;;a;;;
1-2;1e verd.;Gang;Brandslanghaspel;EA;;a;;;
2-1;2e verd.;Gang;Brandslanghaspel;EA;;a;;;
2-2;2e verd.;Gang;Brandslanghaspel;EA;;a;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
