;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kleine Meierij;;;Naam monteur: J. Verhagen;;;;;;
Locatie: Chansonstraat;;;Datum: Juli, 2015;;;;;;
Adres: Chansonstraat 48-50 Rosmalen;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
0-1;BG;Hal;Brandslanghaspel;EA;;a;;;
0-2;BG;Hal;Brandslanghaspel;EA;;a;;;
0-3;1;Overloop;Brandslanghaspel;EA;;a;;;
0-4;2;Overloop;Brandslanghaspel;EA;;a;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
