;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kleine Meierij;;;Naam monteur: J Verhagen;;;;;;
Locatie: Taalstraat 154;;;Datum: Juli, 2015;;;;;;
Adres: Taalstraat 154 Vught;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
0-1;BG;Hal;Brandslanghaspel;EA;achter bsh;a;;;
0-2;BG;Hal;Brandslanghaspel;EA;achter bsh;a;;;
0-3;1e verd.;Gang;Brandslanghaspel;EA;achter bsh;a;;;
0-4;1e verd.;Gang;Brandslanghaspel;EA;achter bsh;a;;;
0-5;BG;Buiten - achter;Vorstvrij buitenkraan;;;a;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
