;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kleurrijk Wonen;;;Naam monteur: J. Nederkoorn;;;;;;
Locatie: -;;;Week 17 2015;;;;;;
Adres: Rijswijklaan Tiel;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
;;Rijswijklaan nr. 63;Koudwater;EA;in toilet;a;Ø22;knel;
;;Rijswijklaan nr. 65;Koudwater;EA;in toilet;a;Ø22;knel;
;;Rijswijklaan nr. 51;Koudwater;EA;in toilet;a;Ø22;knel;
;;Rijswijklaan nr. 53;Koudwater;EA;in toilet;a;Ø22;knel;
;;Rijswijklaan nr. 39;Koudwater;EA;in toilet;a;Ø22;knel;
;;Rijswijklaan nr. 41;Koudwater;EA;in toilet;a;Ø22;knel;
;;Rijswijklaan nr. 27;Koudwater;EA;in toilet;a;Ø22;knel;
;;Rijswijklaan nr. 29;Koudwater;EA;in toilet;a;Ø22;knel;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
