;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: SVT;Kleurrijk Wonen;;Naam monteur: J Verhagen;;;;;;
Locatie: ECT2;;;Datum: Oktober, 2015;;;;;;
Adres: Dodewaardlaan 7-15 Tiel;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF)
1;BG;hal t.o. trap;BSH 001;;EA;;JA;;
2;BG;gang logopedie 5.06;BSH 002;;EA;;JA;;
3;BG;gang podotherapie bij 5.05;BSH 003;;EA;;JA;;
4;BG;fysio ruimte;BSH 004;;EA;;JA;;
5;BG;gang bij pantry fysio;BSH 005;;EA;;JA;;
6;1e;hal wachtruimte lift;BSH 006;;EA;;JA;;
7;1e;gang bij STMR 1.01b;BSH 007;;EA;;JA;;
8;2e;gang t.o. pachtruimte;BSH 008;;EA;;JA;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Bellen voor afspraak met de heer M Leeflang, 0344 640 950.;;;;;;;;;
