;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: SVT;Kleurrijk wonen;;Naam monteur: J Verhagen;;;;;;
Locatie: Entrea school;;;Datum: oktober, 2015;;;;;;
Plaats: Hertog Reinaldlaan 80 Tiel;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF)
1;BG;gang bij ruimte 2.27;BSH 001;;;;JA;;
2;BG;gang bij ruimte 2.13;BSH 002;;;;X;;
3;BG;personeelsruimte;BSH 003;;;;JA;;
4;BG;gang bij ruimte 1.38;BSH 004;;;;JA;;
5;BG;gang bij ruimte 1.14;BSH 005;;;;JA;;
6;BG;hal bij ruimte 1.06;BSH 006;;;;JA;;
7;BG;hal bij ingang PI school;BSH 007;;;;JA;;
8;BG;gang PI school bij ruimte 0.04;BSH 008;;;;JA;;
10;1e;gang bij ruimte 3.16;BSH 010;;;;JA;;
11;1e;gang t.o. ruimte 3.07;BSH 011;;;;JA;;
12;1e;gang bij ruimte 3.28A;BSH 012;;;;JA;;
;;;;;;;;;
K.K 2 - Spuitmond lekt niet controleerbaar.;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
