;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: SVT;Kleurrijk Wonen;;Naam monteur: J Verhagen;;;;;;
Locatie: Oranjehof;;;Datum: Oktober, 2015;;;;;;
Adres: Kasteellaan 1 Buren;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF)
1;BG;Bij hoofd ingang;BSH 0-1;EA;EA;;JA;;
2;BG;Bij achter ingang;BSH 0-2 / 1-2;EA;EA;;JA;;
3;BG;P.G Ingang;BSH 0-3;EA;EA;;JA;;
4;BG;P.G achterin;BSH 0-4;EA;EA;;JA;;
5;1e;Gang 101;BSH 1-3;EA;EA;;JA;;
6;1e;Gang 108;BSH 1-4;EA;EA;;JA;;
;;;;;;;;;
;;Aanliggend Gebouw;;;;;;;
1;BG;Bij 15B;BSH 1;EA;EA;;JA;;
2;BG;Bij 13;BSH 2;EA;EA;;JA;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
