;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Manege de Boschhoeve;Naam monteur: ;J Nederkoorn;;;;;
Locatie:;;Soerendonk;Week: ;41- 2015;;;;;
Adres: ;;Bospad 2;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Tech. Ruimte;Doorstroom Centry;EB;Achter kraan;a;1/2'';Schroef;
2;BG;Keuken;Vaatwasser;CA;Achter Machine;a;1/2'';Schroef;
3;BG;Tech. Ruimte Woonhuis;Vulkraan;EB;Boven Boiler;a;1/2'';Schroef;
4;BG;Tech. Ruimte Woonhuis;Boiler R;Inlaatcombi.;Boven Boiler;a;ø15;Knel;
5;BG;Tech. Ruimte Woonhuis;Boiler L;Inlaatcombi.;Onder Boiler;x;ø15;Knel;
6;-1;Kelder Woonhuis;Voeding Manege;EA;In Kelder;a;ø22;Knel;
7;-1;Kelder Woonhuis;Voeding Woonhuis;EA;In Kelder;a;ø15;Knel;
8;1e;Tech. Ruimte Huisje 1;CV Vulkraan;EA;Onder Kraan;a;3/4'';Schroef;
9;1e;Tech. Ruimte huisje 1;Boiler;Inlaatcombi.;Boven Boiler;a;ø15;Knel;
10;BG;Camping keuken;Chem. Toilet;EB;Achter Kraan;a;1/2'';Schroef;
11;BG;Camping Keuken WM;Voeding KW;EA;Onder Wastafel;a;ø15;Knel;
12;BG;Camping Keuken Douche;Boiler;Inlaatcombi.;Boven Boiler;a;ø15;Knel;
13;BG;Bar Horeca;Boiler;Inlaatcombi.;Onder Bar;a;ø15;Knel;
14;BG;Manege Hotel;CV Vulkraan;EA;Onder Boiler;a;ø15;Knel;
15;BG;Manege Hotel;Boiler;Inlaatcombi.;Onder Boiler;a;ø15;Knel;
16;BG;Manege Hotel;Circulatie leiding;EA;Onder Boiler;x;ø15;Knel;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
;;;;;;;;;
