;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Mooiland;Naam monteur: ;J Nederkoorn;;;;;
Locatie:;;Celesta;Week: ;December, 2015;;;;;
Adres: ;;Raadsingel 1, Boxmeer;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
21;BG;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
21;BG;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
22;BG;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
22;BG;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
23;BG;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
23;BG;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
24;BG;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
24;BG;Meterkast;Ketel;Inlaat C.;In Meterkast;a;ø15;Knel;
25;BG;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
25;BG;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
26;BG;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
26;BG;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
27;BG;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
27;BG;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
28;BG;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
28;BG;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
29;BG;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
29;BG;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
30;BG;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
30;BG;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
31;BG;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
31;BG;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
32;BG;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
32;BG;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
33;BG;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
33;BG;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
34;BG;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
34;BG;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
35;BG;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
35;BG;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
70;1e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
70;1e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
71;1e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
71;1e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
72;1e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
72;1e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
73;1e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
73;1e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
74;1e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
74;1e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
75;1e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
75;1e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
76;1e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
76;1e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
77;1e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
77;1e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
78;1e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
78;1e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
79;1e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
79;1e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
80;1e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
80;1e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
81;1e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
81;1e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
82;1e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
82;1e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
83;1e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
83;1e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
84;1e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
84;1e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
85;1e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
85;1e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
86;1e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
86;1e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
87;1e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
87;1e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
88;1e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
88;1e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
89;1e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
89;1e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
90;1e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
90;1e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
91;1e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
91;1e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
125;2e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
125;2e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
126;2e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
126;2e;Meterkast;Ketel ;Inlaat C.;In Meterkast;a;ø15;Knel;
127;2e;Meterkast;Watermeter;RAM EA;In Meterkast;a;ø15;Knel;
