;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: SWB;;;Naam monteur: Marty Gutte;;;;;;
Locatie: Huize Appelenburg;;;Week 27, 2015;;;;;;
Adres: Julianalaan 18, Dodewaard;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Gang;Brandslanghaspel;;;a;;;
2;1e verd.;Gang;Brandslanghaspel;;;a;;;
3;BG;Achtertuin;Buitenkraan;in kraan;;a;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
