;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: SWB;;;Naam monteur: Marty Gutte;;;;;;
Locatie: Kantoor SWB;;;Week 27, 2015;;;;;;
Adres: Hofstede 57 Lienden;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Hal;Brandslanghaspel;;;a;;;
2;BG;Werkplaats;Brandslanghaspel;;;a;;;
3;1e verd.;Gang bij kopieermachine;Brandslanghaspel;;;a;;;
4;1e verd.;Ketelhok;vulkraan;CA;;a;;;
Keerklep:;;Opmerking:;;;;;;;
4;;Kon niet geperst worden;;;;;;;
