;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: SWB;;;Naam monteur: Marty Gutte;;;;;;
Locatie: Kulturhus;;;Week 27, 2015;;;;;;
Adres: Koningin Beatrixplein, Lienden;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Eetcafé;Brandslanghaspel;EA;;a;;;
2;BG;Gang;Brandslanghaspel;;;a;;;
3;BG;Gang bij SKLM;Brandslanghaspel;;;a;;;
4;BG;Gang bij Bellefleur;Brandslanghaspel;;;a;;;
5;BG;Gang bij Bellefleur;Brandslanghaspel;;;a;;;
6;BG;Gang bij Sterappel;Brandslanghaspel;;;a;;;
7;BG;Gang bij Sterappel;Brandslanghaspel;;;a;;;
8;BG;Binnentuin;Buitenkraan;;binnen boven plafond;a;Ø15;knel;
9;BG;Binnentuin;Buitenkraan;;binnen boven plafond;a;Ø15;knel;
10;BG;Binnentuin;Buitenkraan;;binnen boven plafond;a;Ø15;knel;
11;1e;Gang STMR;Brandslanghaspel;;;a;;;
12;1e;Gang STMR;Brandslanghaspel;;;a;;;
13;1e;Gang STMR;BSH in keuken;;;a;;;
14;1e;Gang STMR bij 31;Brandslanghaspel;;;a;;;
15;1e;Gang bij 47;Brandslanghaspel;;;a;;;
16;BG;Buiten bij opvang;Buitenkraan;EA;in plafond;a;Ø15;knel;
17;BG;Buiten bij opvang;Buitenkraan;EA;in plafond;a;Ø15;knel;
18;BG;Zijgevel buiten;Buitenkraan;EA;in plafond;a;Ø15;knel;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
