;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: SWB;;;Naam monteur: Marty Gutte;;;;;;
Locatie: Peuterspeelzaal;;;Week 27, 2015;;;;;;
Adres: Mariëndaal 1, Lienden;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;;Brandslanghaspel;;;a;;;
2;BG;;Buitenkraan;;;a;Ø15;knel;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
