;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: SWB;;;Naam monteur: Marty Gutte;;;;;;
Locatie: De Steegakker;;;Week: Week 19 2014;;;;;;
Adres: Steegakker 1-11 Dodewaard;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Gang;Brandslanghaspel;;;a;;;
2;1e verd.;Gang;Brandslanghaspel;;;a;;;
Keerklep:;;Opmerking:;;;;;;;
1;;Centrale keerklep voor alle brandslanghaspels;;;;;;;
