;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Smart Coach;;;Naam monteur: Jordi Verhagen;;;;;;
Locatie: -;;;Datum: Aug, 2015;;;;;;
Adres: Amundsenstraat 64-70, Den Bosch;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF)
1;B.G.;Hal huisnummer 64;Brandslanghaspel 1;;;;a;;
2;B.G.;Meterkast huisnummer 68;Watermeter;RAM EA;;;a;Ø28;Knel
3;B.G.;Hal huisnummer 68;Buitenkraan (2x);EA;;In kruipruimte;a;Ø15;Knel
4;B.G.;Hal huisnummer 70;Brandslanghaspel 5;;;;a;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
