;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Talis;;;Naam monteur: J. Verhagen;;;;;;
Locatie: De Meander;;;Datum: aug, 2015;;;;;;
Adres: Passedwarsstraat 69B, Wijchen;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF)
1;BG;Hal bij ingang;BSH 1;;;;a;;
2;BG;Hal naast lift;BSH 2;;;;a;;
3;3e verd.;Hal bij lift;BSH 3-2;;;;a;;
6;3e verd.;Bij huisnr: 309;BSH 3-3;;;;a;;
4;;Ontmoetingsruimte;BSH 4;;;;a;;
5;;Huisartsenpraktijk;BSH 5;;;;a;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;Keerklepstickers van vorig jaar zijn verwijderd.;;;;;;;
