;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Talis;;;Naam monteur: J. Verhagen;;;;;;
Locatie: Piushove ZZG;;;Datum:  aug, 2015;;;;;;
Adres: Slichtenhorststraat 91, Nijmegen;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF)
1;kelder;Centrale keerklep in kelder;Brandslanghaspel;RAM EA;;In technische ruimte;a;Ø28;Knel
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
