;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Talis;;;Naam monteur: J. Verhagen;;;;;;
Locatie: WC Terra ZZG;;;Datum: aug, 2015;;;;;;
Adres: Graspieperhof 166-170, Nijmegen;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF)
1;BG;Gang tegenover lift;BSH 0-1;EA;EA;;a;;
2;1e verd.;Gang tegenover lift;BSH 1-1;EA;EA;Onder BSH;a;Ø20;
3;BG;Huiskamer 167;Buitenkraan;;;;a;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
3;;Geen sticker i.v.m. buiten;;;;;;;
