;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Vallei Wonen;;;Naam monteur: J. Verhagen;;;;;;
Locatie: -;;;Datum: December, 2015;;;;;;
Adres: Kersentuin, Woudenberg;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF)
1;B.G.;Ketelhok;Aanvoer kw;EA;;;a;;
2;B.G.;Ketelhok;BSH centraal;EA;;;a;;
3;1e verd.;Poetshok;Inlaatcombi;EA;;;a;;
4;1e verd.;Poetshok;Circuleiding;EA;;;a;;
;;;;;;;;;
;;;;;;;;;
