;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: M. Gutte;;;;;;
Locatie: Mariaoord Hoofdgebouw;;;Week 15 2015;;;;;;
Adres: Vliertwijksestraat 369, Rosmalen;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;Kelder;Gang;Brandslanghaspel ;EA;in gang kelder;a;Ø28;cap;
2;Kelder;Gang;Brandslanghaspel ;EA;in gang kelder;a;Ø28;cap;
3;B.G.;Restaurant;Brandslanghaspel ;EA;in oude fietsstalling;a;Ø35;cap;
4;Kelder;Oude fietsstalling;V.V. Buitenkraan;EA;;a;Ø22;knel;
5;B.G.;Gang bij restaurant;Brandslanghaspel ;EA;in gang kelder;a;Ø28;cap;
6;B.G.;Gang bij rookruimte;Brandslanghaspel ;EA;in gang kelder;a;Ø28;cap;
7;Kelder;CV vulkraan ketelhuis;CV Vulkraan;EB;;a;1/2;schroef;
8;Kelder;Kelder;Circulatieleiding warmwater;EA;bij waterontharder;a;Ø15;knel;
9;Kelder;Ketelhuis;Circulatie verdeler warmwater;EA;onder station;a;Ø42;cap;
10;Kelder;Ketelhuis;Circulatie verdeler warmwater;EA;onder station;a;Ø42;cap;
11;K, B.G.;Ketelhuis;Buitenkraan laadperron;EA;bij waterontharder;a;Ø15;knel;
11a;Kelder;Ketelhuis;Toevoer koudwater;EA;bij waterontharder;a;Ø22;knel;
12;Kelder;Ketelhuis;Voeding boiler k.w.;EA;buiten bij laden en lossen;a;Ø35;cap;
13;B.G.;Gang activiteit bij toilet;Brandslanghaspel ;EA;;a;Ø28;;
14;B.G.;Gang P.G.;Brandslanghaspel 12;EA;;a;Ø22;;
15;B.G.;Dagbehandeling P.G. ruimte unit 2;Koffieautomaat;EA;boven keukenblad;a;3/4;schroef bi-bui;
16;B.G.;Dagbehandeling P.G. ruimte unit 2;Vaatwasser;DEAB;in keukenkast;a;1/2;W.M. Kraan;
17;B.G.;Dagbehandeling somatiek;Koffieautomaat;EA;;a;;;
18;B.G.;Receptie;Brandslanghaspel;EA;;a;Ø22;cap;
18a;1e verd.;hal bij lift;Brandslanghaspel ;EA;;a;Ø22;cap;
19;B.G.;Keuken;Steam onder;DEAB;in kast onder steamer;a;1/2;W.M. Kraan;
20;B.G.;Keuken;Steam boven;DEAB;in kast onder steamer;a;1/2;W.M. Kraan;
20a;B.G.;Keuken;Steamer;EA;in kast;a;3/4;schroef;
21;B.G.;Restaurant;Koffieautomaat;EA;Achter automaat;a;3/4;schroef bi-bui;
22;B.G.;Salade bar restaurant;W.M. kraan onder wasbak;DEAB;;a;1/2;W.M. Kraan;
23;B.G.;Spoelruimte restaurant;Spoel-knijp kraan;EA;;a;Ø15;knel;
24;B.G.;Spoelruimte restaurant;Spoel-knijp kraan;EA;;a;Ø15;knel;
25;B.G.;Kassa ruimte restaurant;Koffieautomaat;EA;;a;3/4;schroef bi-bui;
26;B.G.;Wasserij;W.M. Loos ww;EA;;a;3/4;schroef bi-bui;
27;B.G.;Wasserij;W.M. Loos ww;EA;;a;3/4;schroef bi-bui;
28;B.G.;Wasserij;W.M. Loos kw;EA;;a;3/4;schroef bi-bui;
29;B.G.;Wasserij;W.M. Rechts ww;EA;;a;3/4;schroef bi-bui;
30;B.G.;Wasserij;W.M. Rechts ww;EA;;a;3/4;schroef bi-bui;
31;B.G.;Wasserij;W.M. Rechts kw;EA;;a;3/4;schroef bi-bui;
32;B.G.;Wasserij;W.M. Midden kw;EA;;a;3/4;schroef bi-bui;
33;B.G.;Wasserij;W.M. Midden ww;EA;;a;3/4;schroef bi-bui;
34;B.G.;Wasserij;W.M. Midden ww;EA;;a;3/4;schroef bi-bui;
35;B.G.;Wasserij;W.M. Links kw;EA;;a;3/4;schroef bi-bui;
36;B.G.;Wasserij;W.M. Links ww;EA;;a;3/4;schroef bi-bui;
37;B.G.;Wasserij;W.M. Links ww;EA;;a;3/4;schroef bi-bui;
38;B.G.;Dagbesteding 031a;Buitenkraan;EA;;a;Ø15;knel;
39;B.G.;Dagbesteding 031a;Koffieautomaat;EA;boven keukenblad;a;3/4;schroef bi-bui;
40;B.G.;Dagbehandeling somatiek;Buitenkraan;EA;;a;Ø15;knel;
41;B.G.;Binnentuin T.O. dagbesteding;Buitenkraan;EA;;a;Ø15;knel;
42;B.G.;Gang spoelkeuken;Brandslanghaspel ;;;a;;;
43;B.G.;H.D. Ruimte;Hogedrukreiniger;EA;;a;Ø15;knel;
44;B.G.;Linnenkamer;Brandslanghaspel ;EA;;a;;;
45;B.G.;Dagbehandeling P.G. ruimte unit 1;Buitenkraan;RAM EA;in huiskamer 1;a;Ø15;knel;
46;1e verd.;Gang;Koffieautomaat;DEAB;;a;1/2;W.M. Kraan;
47;1e verd.;Bij secretariaat;Brandslanghaspel ;EA;;a;Ø22;knel;
48;2e verd.;Bij lift;Brandslanghaspel ;EA;;a;Ø28;knel;
49;2e verd.;Huiskamer 't ven 2;Koffieautomaat;EA;Achter automaat;a;1/2;W.M. Kraan;
50;2e verd.;Huiskamer 't ven 2;V.W. automaat;EA;Onder keukenblok;a;1/2;W.M. Kraan;
51;2e verd.;Gang bij kamer 2.018;Brandslanghaspel ;EA;In plafond 1e verdieping;a;Ø22;knel;
52;3e verd.;Bij lift;Brandslanghaspel ;EA;In plafond 2e verdieping;a;Ø28;knel;
53;3e verd.;Centraal gang;Brandslanghaspel ;EA;In plafond 2e verdieping;a;Ø28;knel;
54;Kelder;Spoelruimte rolstoel;Knijpkraan kw;EA;Magazijn 5 kelder;a;Ø15;knel;
55;Kelder;Spoelruimte rolstoel;Knijpkraan ww;EA;Magazijn 5 kelder;a;Ø15;knel;
56;Kelder;Voeding kleedruimte;Kranen;RAM EA;Houtopslag kelder;a;Ø22;knel;
57;B.G.;Restaurant;Buitenkraan bar;EA;Niet zichtbaar;a;Ø15;;
59;B.G.;Dagbesteding 031a;V.W. automaat;DEAB;;a;1/2;W.M. Kraan;
60;B.G.;Dagbehandeling somatiek;V.W. automaat;DEAB;in keukenkast;a;1/2;W.M. Kraan;
61;B.G.;Magazijn bij kassa;Tapkraan;DEAB;in kraan;a;1/2;W.M. Kraan;
62;2e verd.;Huiskamer 't ven 2 / 2.016;V.W. automaat;DEAB;in kraan;a;1/2;W.M. Kraan;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
