;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: M. Gutte;;;;;;
Locatie: Mariaoord Paviljoen B;;;Week 19 2015;;;;;;
Adres: Rosmalen - Wamberg;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;Gang bij ingang B;Brandslanghaspel 79;RAM afsluiter;In plafond unit 1;a;Ø28;Knel;
1a;B.G.;Gang voor;Brandslanghaspel 80;RAM afsluiter EA;In plafond;a;Ø28;Knel;
2;B.G.;Gang team 1;Brandslanghaspel 81;RAM afsluiter;In plafond bij BO/3;a;Ø28;Knel;
3;B.G.;Huiskamer 1 bij B;Vaatwasser;EA;In keukenkast onder wasbak;a;3/4;Schroef;
4;B.G.;Huiskamer 2 bij B;Vaatwasser;EA;In keukenkast onder wasbak;a;3/4;Schroef;
5;B.G.;Gang 2 bij B;Brandslanghaspel 83;RAM afsluiter;In plafond bij BO 209;a;Ø28;Knel;
6;B.G.;Gang bij B algemeen;Koffieautomaat;EA;Kamer achter koffieautomaat;a;3/4;Schroef;
7;B.G.;Huiskamer 3;Vaatwasser;EA;In keukenkast onder wasbak;a;3/4;Schroef;
8;B.G.;Gang 3 bij B;Brandslanghaspel 85;RAM afsluiter;In plafond bij B13;a;Ø28;Knel;
9;1e verd.;Huiskamer 1 bij B Krommenhoek;Vaatwasser;EA;In keukenkast onder wasbak;a;3/4;Schroef;
10;1e verd.;Huiskamer 2 bij B Krommenhoek;Vaatwasser;EA;In keukenkast onder wasbak;a;3/4;Schroef;
11;1e verd.;Gang algemeen bij B Krommenhoek;Koffieautomaat;EA;Kamer achter koffieautomaat;a;3/4;Schroef;
12;1e verd.;Huiskamer 3 bij B Krommenhoek;Vaatwasser;EA;In keukenkast onder wasbak;a;3/4;Schroef;
13;2e verd.;Ketelhuis;Boiler circulatie;RAM afsluiter EA;Achter boiler links;a;Ø28;Knel;
14;2e verd.;Ketelhuis;Boiler circulatie;RAM afsluiter EA;Achter boiler rechts;a;Ø28;Knel;
15;2e verd.;Ketelhuis;Boiler;EA;Achter boiler links;a;Ø22;Knel;
16;2e verd.;Ketelhuis;Boiler;EA;Achter boiler rechts;a;Ø22;Knel;
17;2e verd.;Ketelhuis;CV vulkraan;RAM afsluiter EA;Boven toegangsdeur;a;Ø22;Knel;
18;2e verd.;Ketelhuis;Waterontharder;RAM afsluiter EA;Boven toegangsdeur;a;Ø28;Knel;
19;2e verd.;Ketelhuis;CV vulkraan;CA;Bij toegangsdeur;a;Ø22;Knel;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
