;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: M. Gutte;;;;;;
Locatie: Mariaoord Paviljoen C;;;Week 19, 2015;;;;;;
Adres: Rosmalen - Kattenbosch;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;Hal ingang C kattebos;Brandslanghaspel 71;EA;In kruipruimte;a;niet zichtbaar;;
2;B.G.;Gang unit 1;Brandslanghaspel 73;EA;In kruipruimte;a;niet zichtbaar;;
3;B.G.;Keuken huiskamer unit 1;Vaatwasser;EA;In kast keuken;a;3/4;Schroef;
4;B.G.;Gang unit 2;Brandslanghaspel 75;EA;In kruipruimte;a;niet zichtbaar;;
5;B.G.;Hal kattebos;Koffieautomaat;EA;Achter koffieautomaat;a;3/4;Schroef;
6;B.G.;Keuken unit 2 huiskamer;Vaatwasser;EA;In kast keuken;a;3/4;Schroef;
7;B.G.;Gang unit 3;Brandslanghaspel 77;EA;In kruipruimte;a;niet zichtbaar;;
8;B.G.;Keuken unit 3 huiskamer;Vaatwasser;EA;In kast keuken;a;3/4;Schroef;
9;1e verd.;Ketelhuis;Circulatie boiler;EA;In ketelhuis;a;Ø22;Knel;
10;1e verd.;Ketelhuis;CV vulkraan;CA;naast ketel;a;Ø22;Knel;
11;1e verd.;Ketelhuis;Luchtbevochtiger;RAM EA;boven ketel;a;Ø22;Knel;
12;1e verd.;Ketelhuis;Luchtbevochtiger;CA;tegen plafond;a;Ø22;Knel;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
