;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Kempenhaeghe;Naam monteur: ;J Nederkoorn;;;;;
Locatie:;;t Scureken;Week: ;Oktober, 2015;;;;;
Adres: ;;Sterkselseweg 65, Heeze;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;1000025;Wasmachine;EA;Onder kraan;a;3/4'';Schroef;
2;BG;1000025;Circulatie;RAM EA;Onder Boiler;a;ø15;Knel;
3;BG;1000025;Boiler;Inlaat C.;Onder Boiler;a;ø22;Knel;
4;BG;10.00.021 Portaal;Knijpspoelkraan;RAM EA;In Kast;a;ø15;Knel;
5;BG;10.00.021 Portaal;Knijpspoelkraan;RAM EA;In KASt;a;ø15;Knel;
6;BG;10.00.021 Portaal;Bravilor;EA;Onder Kraan;a;3/4'';Schroef;
7;BG;10.00.021 Portaal;Koffie automaat;EA;Onder Kraan;a;3/4'';Schroef;
8;BG;1000037;Waterontharder;CA;Onder Blad;a;ø15;Knel;
9;BG;10.00.035 Keuken;Knijpspoelkraan;RAM EA;Onder in kast;a;ø15;Knel;
10;BG;10.00.035 Keuken;Knijpspoelkraan;RAM EA;Onder in kast;a;ø15;Knel;
11;BG;10.00.035a;Koffie automaat;EA;Onder Kraan;a;3/4'';Schroef;
12;BG;10.00.035a Melktap;Tapkraan;DAEB;In kraan (kast);a;1/2'';Schroef;
13;BG;10.00.035a;BSH;EA;In kruipruimte;a;;;
14;BG;10.00.035a ;Tapkraan/Buitenkraan;EA;In kruipruimte;a;;;
15;BG;10.00.035a Stijlkamer;Buitenkraan;RAM EA;In Kast;a;ø15;Knel;
16;BG;1000029;Voeding KW;EA;In kruipruimte;a;2'';Schroef;
17;BG;1000074;BSH;EA;In kruipruimte;a;;;
18;1e;Balkon;BSH;EA;;a;;;
19;BG;Artiesten Ingang;BSH;EA;In kruipruimte;a;;;
20;BG;Pantry Flexplekken;Koffie automaat;RAM EA;In Keukenkast;a;ø15;Knel;
21;BG;Pantry Flexplekken;Vaatwasser;EB;In Keukenkast;a;1/2'';Schroef;
22;BG;Hal Flexplekken;BSH;;;a;;;
23;BG;Werkkast Flexplekken;Boiler;Inlaat C.;Onder Boiler;a;ø15;Knel;
24;-1;Ketelhuis;CV Vulkraan;RAM EA;Bij verdeler;a;ø15;Knel;
25;-1;Ketelhuis;CV Vulkraan;CA;Bij verdeler;a;ø22;Knel;
26;-1;Luchtbehandelingsruimte;Tapkraan;RAM EA;In kruipruimte;a;ø15;Knel;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
;;;;;;;;;
