;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Kempenhaeghe;Naam monteur: ;J Nederkoorn;;;;;
Locatie:;;Amer 84 - 84A;Week: ;Oktober, 2015;;;;;
Adres: ;;Someren;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Meterkast 84A;Watermeter;EA;In Meterkast;a;1'';Schroef;
2;BG;Keuken 84A;Vaatwasser;DAEB;In Keukenkast;a;1/2'' ;Schroef;
3;BG;Terras 84A;Gevelkraan;EA;;a;;;
4;2e;Zolder 84A;Boiler;Inlaat C.;Onder Boiler;a;ø15;Knel;
5;2e;Zolder 84A;CV Vulkraan;DAEB;In Kraan;a;1/2'' ;Schroef;
6;2e;Zolder 84A;Circulatie;EA;Onder Boiler;a;ø15;Knel;
7;2e;Zolder 84A;Wasmachine;DAEB;In Kraan;a;1/2'' ;Schroef;
8;2e;Zolder 84;Wasmachine;DAEB;In Kraan;a;1/2'' ;Schroef;
9;2e;Zolder 84;Circulatie;EA;Onder Boiler;a;ø15;Knel;
10;2e;Zolder 84;Boiler;Inlaat C.;Onder Boiler;a;ø15;Knel;
11;2e;Zolder 84;CV Vulkraan;DAEB;In Kraan;a;1/2'' ;Schroef;
12;BG;Keuken 84;Vaatwasser;DAEB;In Kraan;a;1/2'' ;Schroef;
13;BG;Berging 84;Wasmachine;DAEB;In Kraan;a;1/2'' ;Schroef;
14;BG;Terras 84;Gevelkraan;EA;;a;;;
15;BG;Keuken Centraal;Vaatwasser;DAEB;In Kast;a;1/2'' ;Schroef;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
;;;;;;;;;
