;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Kempenhaeghe;Naam monteur: ;J Nederkoorn;;;;;
Locatie:;;De Dommel 29-31;Week: ;Oktober, 2015;;;;;
Adres: ;;Someren;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Meterkast;Watermeter;EA;In Meterkast;a;1/2'';Schroef;
2;BG;Keuken 29;Vaatwasser;DAEB;In Keukenkast;a;1/2'';Schroef;
3;BG;Wasruimte 29;Wasmachine;DAEB;In Wasruimte;X;1/2'';Schroef;
4;2e;Zolder 29;CV Vulkraan;EB;Achter CV Vulkraan;a;1/2'';Schroef;
5;2e;Zolder 29;Boiiler;Inlaat C.;Onder Boiler;a;ø15;Knel;
6;2e;Zolder 31;CV Vulkraan;EB;Achter CV Vulkraan;a;1/2'';Schroef;
7;2e;Zolder 31;Boiiler;Inlaat C.;Onder Boiler;a;ø15;Knel;
8;BG;Wasruimte 31;Wasmachine;DAEB;In Wasruimte;X;1/2'';Schroef;
9;BG;Keuken 31;Vaatwasser;DAEB;In Keukenkast;X;1/2'';Schroef;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;2 Gevelkranen niet beveiligd.;;;;;;;
;;;;;;;;;
