;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Kempenhaeghe;Naam monteur: ;J Nederkoorn;;;;;
Locatie:;;De Vinckert;Week: ;September, 2015;;;;;
Adres: ;;Sterkselseweg 65, Heeze;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;;07.00.101A;Mengventiel KW;EA;In Meterkast;a;ø15;Knel;
2;;07.00.101A;Mengventiel WW;EA;In Meterkast;a;ø15;Knel;
3;;700105;Vaatwasser;EB;In Keukenkast;a;1/2'';Schroef;
4;;700105;Steamer;EB;In Keukenkast;a;1/2'';Schroef;
5;;700111;Wasmachine;EB;In Wasruimte;a;1/2'';Schroef;
;;;;;;;;;
7;;700117;Bad WW;EB;In Badkamer;a;1/2'';Schroef;
8;;700117;Bad KW;EB;In Badkamer;a;1/2'';Schroef;
11;;700205;Vaatwasser;EB;In Keukenkast;a;1/2'';Schroef;
12;;700205;Steamer;EB;In Keukenkast;a;1/2'';Schroef;
13;;700211;Wasmachine;EB;In Wasruimte;a;1/2'';Schroef;
17;;700217;Bad;EB;In Badkamer;a;1/2'';Schroef;
18;;700217;Bad;EB;In Badkamer;a;1/2'';Schroef;
19;;700315;Vaatwasser;EB;In Keukenkast;a;1/2'';Schroef;
20;;700315;Steamer;EB;In Keukenkast;a;1/2'';Schroef;
21;;700335;Wasmachine;EB;In Wasruimte;a;1/2'';Schroef;
25;;700355;Bad WW;EB;In Badkamer;a;1/2'';Schroef;
26;;700355;Bad KW;EB;In Badkamer;a;1/2'';Schroef;
27;;700403;Buitenkraan;EA;In Meterkast;a;ø15;Knel;
28;;700421;Vaatwasser;EB;In keukenla;a;1/2'';Schroef;
29;;700421;Steamer;CA;In Keukenkast;a;1/2'';Schroef;
30;;700441;Wasmachine;EB;In Wasruimte;a;1/2'';Schroef;
31;;700441;Wasmachine;EB;In Wasruimte;a;1/2'';Schroef;
32;;700517;BSH's;EA;Rolstoel Berging;a;ø28;CAP;
33;;07.00.403B;CV Vulkraan;CA;Naast Boiler;a;ø15;Knel;
34;;07.00.403B;CV Vulkraan;EA;Naast Boiler;a;ø15;Knel;
35;;07.00.403B;Boiler;Inlaat C. EA;Boven Boiler;a;3/4'';Schroef;
36;;07.00.403B;Aanv. Voorraadvat;EA;Boven Boiler;a;ø28;CAP;
37;;700503;Vaatwasser;EB;In Keukenkast;a;1/2'';Schroef;
38;;700503;Koffie automaat;EA;In Keukenkast;a;3/4'';Schroef;
39;;700517;Voeding Boiler;EA;Rolstoel Berging;a;ø28;Knel;
40;;700517;Voeding Vinckert 1;EA;Rolstoel Berging;a;ø28;Knel;
41;;700517;Voeding Vinckert 2;EA;Rolstoel Berging;a;ø28;Knel;
42;;700517;Voeding Vinckert 3;EA;Rolstoel Berging;a;ø28;Knel;
43;;700517;Voeding Vinckert 4;EA;Rolstoel Berging;a;ø28;Knel;
44;;07.00.403B;Circulatie;EA;Achter Luik Zolder;a;ø22;Knel;
45;;700403;Voeding KW;EA;In Meterkast;a;2'';Schroef;
46;;07.00.403B;Circulatie;EA;Achter Luik Zolder;a;ø22;Knel;
47;;07.00.403B;Circulatie;EA;Achter Luik Zolder;a;ø22;Knel;
48;;07.00.403B;Circulatie;EA;Achter Luik Zolder;a;ø22;Knel;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
;;;;;;;;;
