;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Kempenhaeghe;Naam monteur: ;J Nederkoorn;;;;;
Locatie:;;Den Boondert MR1;Week: ;Oktober, 2015;;;;;
Adres: ;;Sterkselseweg 65, Heeze;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;-1;200133;Boiler;Inlaat C.;Naast Boiler;a;ø22;Knel;
2;-1;200133;CV Vulkraan;CA;Naast Boiler;a;ø15;Knel;
3;BG;200103;BSH Centraal;EA;In Kruipruimte;a;;;
4;-1;02.00.027a;Circulatie;EA;In Kelder;a;ø28;Knel;
5;-1;02.00.027a;Voeding Boiler;EA;In Kelder;a;ø42;CAP;
6;-1;02.00.027a;Voeding hoogbouw;EA;In Kelder;a;ø42;CAP;
7;-1;02.00.027a;Voeding laagbouw;EA;In Kelder;a;ø42;CAP;
8;BG;02.00.027a;Koffie automaat;EA;In Kast;a;ø15 ;Knel;
9;BG;200027;Tapkraan;DAEB;In Kraan;a;1/2'';Schroef;
10;BG;02.00.007a;Koffie automaat;EA;In Kast;a;ø15 ;Knel;
11;BG;02.00.007a;Chiller;DAEB;In Kast ( Kraan);a;1/2'';Schroef;
12;BG;02.00.007a;Vaatwasser;DAEB;In Kast ( Kraan);a;1/2'';Schroef;
13;BG;200007;BSH Centraal;EA;In Plafond MIVA toilet;a;ø35;CAP;
14;1e;201011;Koffie automaat;EA;In Kast;a;ø15 ;Knel;
15;1e;201011;Chiller;DAEB;In Kraan;a;1/2'';Schroef;
16;1e;201011;Vaatwasser;DAEB;In kraan;a;1/2'';Schroef;
17;1e;201027;Waterontharder;EA;In Tech. Ruimte;a;ø15 ;Knel;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
;;;;;;;;;
