;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Kempenhaeghe;Naam monteur: ;J Nederkoorn;;;;;
Locatie:;;GNG;Week: ;Oktober, 2015;;;;;
Adres: ;;Sterkselseweg 65, Heeze;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Hoofdgang 04.00.001;Voeding KW;RAM EA;In Kruipruimte;a;ø28;Knel;
2;BG;04.00.009 Tech. Ruimte;CV Vulkraan;EB;Onder Ketel;a;1/2'';Schroef;
3;BG;04.00.009 Tech. Ruimte;Boiler;Inlaat C.;Onder Boiler;a;ø15;Knel;
4;BG;04.00.003 Keuken;Voeding KW;RAM EA;In Keukenkast;a;ø15;Knel;
5;BG;04.00.003 Keuken;Koffie automaat;DAEB;In Keukenkast;a;1/2'';Schroef;
6;BG;04.00.003 Keuken;Vaatwasser;DAEB;In Keukenkast;a;1/2'';Schroef;
7;BG;04.00.003 Keuken;Tapkraan;DAEB;In Keukenkast;a;1/2'';Schroef;
8;BG;400015;Tapkraan KW;DAEB;In Kraan;a;1/2'';Schroef;
9;BG;400015;Tapkraan WW;DAEB;In Kraan;a;1/2'';Schroef;
10;BG;400035;Boiler;Inlaat C.;Onder Boiler;X;ø15;Knel;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
;;;;;;;;;
