;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Kempenhaeghe;Naam monteur: ;J Nederkoorn;;;;;
Locatie:;;Gymzaal Berkenschutse;Week: ;Oktober, 2015;;;;;
Adres: ;;Sterkselseweg 65, Heeze;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;60.00.003 Gang Fysio Kantoor;BSH;EA;;a;;;
2;BG;60.00.003a Keuken;Vaatwasser;DAEB;In Kast;a;1/2'';Schroef;
3;BG;60.00.108 CV Ruimte;Boiler;Inlaat C.;Tegen Plafond;a;ø15;Knel;
4;BG;60.00.108 CV Ruimte;Circulatie;EA;Naast Boiler;a;ø22;Knel;
5;BG;60.00.108 CV Ruimte;CV Vulkraan;DAEB;In Kraan;a;1/2'';Schroef;
6;BG;60.00.112 Fitness;Vaatwasser;DAEB;In Kast;a;1/2'';Schroef;
7;BG;60.00.103 Gang;BSH;EA;;a;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
;;;;;;;;;
