;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Kempenhaeghe;Naam monteur: ;;;;;;
Locatie:;;Hans Berger Kliniek;Week: ;Oktober, 2015;;;;;
Adres: ;;Muldersteeg 6, Oosterhout;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;-1;50.-1.801 TR;Voeding KW;EA;In Ketelhuis;a;ø42;Pers;
2;-1;50.-1.801 TR;Circulatie;EA;In Ketelhuis;a;ø28;Knel;
3;-1;50.-1.801 TR;Circulatie;EA;In Ketelhuis;a;ø28;Knel;
4;-1;50.-1.801 TR;CV Vulkraan;CA;In Ketelhuis;a;ø22;Pers;
5;BG;50.00.829 Keuken;Vaatwasser WW;EA;In Keuken;a;3/4'';Schroef;
6;BG;50.00.829 Keuken;Vaatwasser KW;DAEB;In Keukenkast;a;1/2'';Schroef;
7;BG;50.00.828 J Bruens zaal;Koffie automaat;DAEB;In Kast;a;1/2'';Schroef;
8;BG;50.00.806 Pantry;Koffie automaat;DAEB;Achter Machine;a;1/2'';Schroef;
9;BG;50.00.806 Pantry;Vaatwasser;DAEB;Onder Automaat;a;1/2'';Schroef;
10;BG;50.00.001 Hal;Waterkoeler;DAEB;Onder in Kast;a;1/2'';Schroef;
11;BG;50.00.001 Hal;Koffie automaat;DAEB;Onder in Kast;a;1/2'';Schroef;
12;BG;50.00.102 Gang;BSH;EA;In Plafond;a;ø22;Knel;
13;BG;50.00.135 Pantry;Gevelkraan;EA;In Keukenkst;a;ø15;Knel;
14;BG;50.00.135 Pantry;Vaatwasser;DAEB;Onder Machine;a;1/2'';Schroef;
15;BG;50.00.132 Keuken;Vaatwasser;DAEB;Onder Machine;a;1/2'';Schroef;
16;BG;5000210;Desinfectie L;DAEB;Naast Machine;a;1/2'';Schroef;
17;BG;5000210;Desinfectie R;DAEB;Naast machine;a;1/2'';Schroef;
18;BG;5000212;Gevelkraan;EA;Tegen Plafond;a;ø15;Knel;
19;BG;5000204;Wasmachine;DAEB;In Spoelruimte;a;1/2'';Schroef;
20;BG;5000204;PO Spoeler KW;EB;Onder Machine;a;1/2'';Schroef;
21;BG;5000204;PO Spoeler WW;EB;Onder Machine;a;1/2'';Schroef;
22;BG;5000232;Koffie automaat;DAEB;Achter Machine;a;1/2'';Schroef;
23;BG;5000232;Vaatwasser;DAEB;Onder Machine;a;1/2'';Schroef;
24;BG;5000311;Gevelkraan;EA;Tegen Plafond;a;ø15;Knel;
25;BG;5000332;Vaatwasser;DAEB;Onder Machine;a;1/2'';Schroef;
26;BG;5000404;Wasmachine;DAEB;In Spoelruimte;a;1/2'';Schroef;
27;BG;5000404;PO Spoeler KW;EB;Onder Machine;a;1/2'';Schroef;
28;BG;5000404;PO Spoeler WW;EB;Onder Machine;a;1/2'';Schroef;
29;BG;5000432;Vaatwasser;DAEB;Onder Machine;a;1/2'';Schroef;
30;BG;5000435;Vaatwasser;DAEB;In Kast;a;1/2'';Schroef;
31;BG;5000409;Hoog-Laag bad;EB;In KW onder bad;a;1/2'';Schroef;
32;BG;5000409;Hoog-Laag bad;EB;In WW onder bad;a;1/2'';Schroef;
33;BG;50.00.436 Magazijn;Gevelkraan;EA;In Kruipruimte;a;1/2'';Schroef;
34;BG;50.00.410 Berging;Gevelkraan;EA;In Berging;a;ø15;Knel;
35;BG;50.00.703 Keuken;Vaatwasser;DAEB;In Kast;a;ø15;Knel;
36;BG;50.00.406 Wasruimte;Wasmachine;DAEB;In Kraan;a;3/8'';Schroef;
37;1e;50.01.102 Wasruimte;WM Kraan L;DAEB;In Kraan Links;a;1/2'';Schroef;
38;1e;50.01.102 Wasruimte;WM Kraan M;DAEB;In Kraan Midden;a;1/2'';Schroef;
39;1e;50.01.102 Wasruimte;WM Wraan R;DAEB;In Kraan Rechts;a;1/2'';Schroef;
40;1e;50.01.132 Keuken;Vaatwasser;DAEB;In Kast;a;1/2'';Schroef;
41;1e;50.01.132 Keuken;Vaatwasser;DAEB;In Kast;a;1/2'';Schroef;
42;1e;50.01.204 Wasruimte;Wasmachine;DAEB;In Kraan;a;1/2'';Schroef;
43;1e;50.01.204 Wasruimte;PO spoeler KW;EB;Onder Machine;a;1/2'';Schroef;
44;1e;50.01.204 Wasruimte;PO Spoeler WW;EB;Onder Machine;a;1/2'';Schroef;
45;1e;50.01.232 Keuken;Vaatwasser;DAEB;In Kast;a;1/2'';Schroef;
46;1e;50.01.232 Keuken;Koffie automaat;DAEB;In Kraan;a;1/2'';Schroef;
47;1e;50.01.332 Keuken;Vaatwasser;DAEB;In Kast;a;1/2'';Schroef;
48;1e;50.01.332 Keuken;Koffie automaat;DAEB;In Kraan;a;1/2'';Schroef;
49;1e;50.01.404 Spoelruimte;Wasmachine;DAEB;In Kraan;a;1/2'';Schroef;
50;1e;50.01.404 Spoelruimte;PO Spoeler KW;EB;Ondre Machine;a;1/2'';Schroef;
51;1e;50.01.404 Spoelruimte;PO spoeler WW;EB;Onder Machine;a;1/2'';Schroef;
52;1e;50.01.432 Keuken;Vaatwasser;DAEB;In Kast;a;1/2'';Schroef;
53;1e;50.01.432 Keuken;Koffie automaat;EA;Achter Automaat;a;3/4'';Schroef;
54;1e;50.01.435 Terras;Gevelkraan;EA;;a;;;
55;1e;50.01.706 Pantry;Vaatwasser;DAEB;In Keukenkast;a;1/2'';Schroef;
56;1e;50.01.807 Pantry;Koffie automaat;DAEB;Bij automaat;a;1/2'';Schroef;
57;1e;50.01.807 Pantry;Vaatwasser;DAEB;In Kast;a;1/2'';Schroef;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
;;;;;;;;;
