;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Kempenhaeghe;Naam monteur: ;J Nederkoorn;;;;;
Locatie:;;Hoofdgebouw;Week: ;September, 2015;;;;;
Adres: ;;Sterkselseweg 65, Heeze;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;S;11.-1.043;Voeding KW;EA;Boven Hoofdkraan;X;;;
2;S;Bij 11.-1.035;BSH 1;;;a;;;
3;S;Bij 11.-1.035;BSH 2;EA;;a;;;
4;BG;Pantry Bij 11.00.83;Chiller;EB;Onder Werkblad;a;;;
5;BG;Pantry Bij 11.00.83;Koffie automaat;EA;Onder Werkblad;a;;;
6;BG;Bij Lift 11.00.079;BSH 3;EA;;a;;;
7;BG;Bij 11.00.099;BSH 4;EA;;a;;;
8;1e;Pantry Wachtruimte;Koffie automaat;DAEB;Boven Blad;X;;;
9;1e;Pantry Wachtruimte;Chiller;DAEB;Boven blad;X;;;
10;1e;Bij Pantry Trap;BSH 5;EA;;a;;;
11;1e;1101067;Boiler 10l ;Inlaat C.;Naast Boiler;X;ø15;Knel;
12;1e;1101055;BSH 6;EA;;a;;;
13;1e;1101085;CV Vulkraan;CA;;a;;;
14;1e;1101015;BSH 7;EA;;a;;;
15;1e;1101023;Boiler;Inlaat C.;Onder Boiler;a;;;
16;2e;Pantry;Koffie automaat;EA;In keukenkast;a;;;
17;2e;Trappenhal Midden;BSH 8;EA;;a;;;
18;BG;Pantry 11.00.059;Koffie automaat;EA;Onder wasbak;a;ø15;Knel;
19;BG;Pantry 11.00.059;Vaatwasser;EA;Naast machine;a;3/4'';Schroef;
20;BG;Trappenhuis 11.00.051;BSH;EA;;a;;;
Keerklep:;;Opmerking:;;;;;;;
;13;Horizontaal plaatsen;;;;;;;
;;;;;;;;;
