;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Kempenhaeghe;Naam monteur: ;J Nederkoorn;;;;;
Locatie:;;Opname centrum gebouw 17;Week: ;Oktober, 2015;;;;;
Adres: ;;Sterkselseweg 65, Heeze;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;;17.00.441 Afd. H;Voeding KW;EA;In kruipruimte;a;ø42;CAP;
2;;17.00.050 Gang ;BSH 5;EA;In kruipruimte;a;;;
3;;17.00.402 Gang ;BSH 4;EA;In kruipruimte;a;;;
4;;17.00.425 Afd. H;Vaatwasser;EB;In Keukenkast;X;1/2'';Schroef;
5;;17.00.401 Afd. G;BSH 3;EA;In kruipruimte;a;;;
6;;17.00.000 Gang ;BSH 2;EA;In kruipruimte;a;;;
7;;17.00.010 Restaurant;Steamer;EA;Achter Steamer;a;ø15;Knel;
7a;;17.00.010 Restaurant;Koffie automaat;EB;Onder automaat;a;3/4'';Schroef;
8;;17.00.242 Afd. F;Vaatwasser;EA;In Keukenkast;X;1/2'';Schroef;
9;;17.00.000 Gang ;BSH 6;EA;In kruipruimte;a;;;
10;;17.00.201 Afd. F;BSH 7;EA;In kruipruimte;a;;;
11;;17.00.200 Afd. E;BSH 8;EA;In wasruimte;a;;;
12;;1700065;wasmachine;EA;In kruipruimte;a;3/4'';Schroef;
13;;17.00.000 Gang;BSH 9;EA;In kruipruimte;a;;;
14;;17.00.130 Afd. B;Vaatwasser;EB;In Keukenkast;X;1/2'';Schroef;
15;;17.00.100 Afd. B;BSH;EA;In kruipruimte;a;;;
16;;17.00.100 Afd. A;BSH;EA;In kruipruimte;a;;;
17;;1700100;BSH 13;EA;In kruipruimte;a;;;
18;;17.00.101 Afd. A;Vaatwasser;EB;In Keukenkast;X;;;
19;;17.00.501 Gang;BSH 17;EA ;In kruipruimte;a;;;
20;;17.00.503 Keuken;Boiler;Inlaat C.;In Keukenkast;a;;;
21;;1700505;Vaatwasser;EB;In Keuken;a;;;
22;;17.00.301 Afd. C;BSH 12;EA;In Kruipruimte;a;;;
23;;17.00.300 Afd. C-D;BSH 11;EA;;X;;;
24;;1700303;Vaatwasser;EB;In Keukenkast;X;;;
25;;17.00.302 Afd. D;BSH 10;EA;In kruipruimte;a;;;
26;;17.00.034 Keuken;Vaatwasser;EB;In Keukenkast;X;1/2'';Schroef;
27;;17.00.034 Ketelhuis;Inlaat C. Boiler;EA;Naast Boiler;a;ø22;CAP;
28;;17.00.034 Ketelhuis;CV Vulkraan;CA;Naast Boiler;a;ø15;Knel;
29;;17.00.344 Ketelhuis;Stoombevochtiger ;EA;Bij Leidingschacht;a;ø15;Knel;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
;;;;;;;;;
