;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Kempenhaeghe;Naam monteur: ;J Nederkoorn;;;;;
Locatie:;;Semi - Permanent;Week: ;Oktober, 2015;;;;;
Adres: ;;Sterkselseweg 65, Heeze;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Hal Ingang;BSH;EA;In Plafond;a;ø28;Knel;
2;BG;Keuken;Voeding Kw;EA;Tegen Plafond;a;ø15;Knel;
3;BG;Keuken;Koffie automaat;DAEB;In Kraan;a;1/2'';Schroef;
4;BG;Keuken;Vaatwasser;DAEB;In Kraan;a;1/2'';Schroef;
5;BG;Ketelruimte;CV Vulkraan;CA;In Ketelhok;a;ø15;Knel;
6;BG;Ketelruimte;Voeding KW;EA;In Ketelhok;a;ø28;CAP;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
;;;;;;;;;
