;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Kempenhaeghe - Providentia;Naam monteur: ;J Nederkoorn;;;;;
Locatie:;;Activiteiten gebouw;Week: ;Oktober, 2015;;;;;
Adres: ;;Albertlaan 19, Sterksel;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;33.00.071a Keuken;Koffie automaat;CA;Naast automaat;a;ø15;Knel;
2;BG;33.00.071a Keuken;Vaatwasser;CA;Onder Werkblad;a;ø15;Knel;
3;BG;33.00.071a Keuken;Knijpspoelkraan KW;EA;Onder Werkblad;a;3/8'';Schroef;
4;BG;33.00.071a Keuken;Knijpspoelkraan WW;EA;Onder Werkblad;a;3/8'';Schroef;
5;BG;33.00.103 125;BSH 125;EA;In kruipruimte;X;;;
6;BG;33.00.081 Pantry;Koffie automaat;EA;In Keukenkast;a;ø15;Knel;
7;BG;33.00.081 Pantry;Vaatwasser;DAEB;In Keukenkast;a;1/2'';Schroef;
8;BG;3300087;BSH 126;EA;In kruipruimte;a;;;
9;BG;3300107;BSH 127;EA;In kruipruimte;X;;;
10;BG;3300057;BSH 128;EA;In kruipruimte;X;;;
11;-1;TR 33.00.057;Voeding KW;EA;In Ketelhuis;a;ø35;CAP;
12;-1;TR 33.00.057;Voeding Boiler;EA;In Ketelhuis;a;ø28;CAP;
13;-1;TR 33.00.057;CV Vulkraan;CA;In Ketelhuis;a;ø15;Knel;
14;-1;TR 33.00.057;Circulatie;EA;In Ketelhuis;X;ø22;Knel;
15;BG;33.00.051 Pantry;Koffioe;EA;In Keukenkast;a;ø15;Knel;
16;BG;33.00.051 Pantry;Vaatwasser;DAEB;in keukenkast;a;1/2'';Schroef;
17;BG;33.00.039 Gang;BSH 132;EA;In kruipruimte;X;;;
18;BG;33.00.023 Gang;BSH 131;EA;In kruipruimte;a;;;
19;BG;33.00.065 Pantry;Koffie automaat;EA;In Keukenkast;a;ø15;Knel;
20;BG;33.00.065 Pantry;Vaatwasser;DAEB;In Keukenkast;a;1/2'';Schroef;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
;;;;;;;;;
