;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: ;;Kempenhaeghe;Naam monteur: ;J Nederkoorn;;;;;
Locatie:;;Kikidio School;Week: ;September, 2015;;;;;
Adres: ;;Sterkselseweg 65, Heeze;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;CV Ruimte;Boiler;Inlaat C.;Boven boiler;a;ø22;CAP;
2;BG;CV Ruimte;CV Vulkraan;CA;Naast boiler;a;ø15;Knel;
3;BG;CV Ruimte;Circulatie;EA;Naast boiler;a;ø15;Knel;
4;BG;Hal;BSH 1;EA;;a;;;
5;1e;Gang;BSH 2;EA;;a;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;2;Horizontaal plaatsen;;;;;;;
;;;;;;;;;
