;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: O.G. Helderingstichting;;;Naam monteur: J. Nederkoorn;;;;;;
Locatie: Gebouw Arenhorst;;;Datum: Week 2 2015;;;;;;
Adres: Wageningsestraat 104, Zetten;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;Gang Arenhorst 7;Brandslanghaspel R7-1;EA;;a;;;
2;1e verd.;Gang Arenhorst 7;Brandslanghaspel R7-2;EA;;a;;;
3;B.G.;Terras Arenhorst 7;Buitenkraan;EA;;a;;;
4;B.G.;Gang Arenhorst 3;Brandslanghaspel R3-1;EA;;a;;;
5;1e verd.;Gang Arenhorst 3;Brandslanghaspel R3-2;EA;;a;;;
6;B.G.;Terras Arenhorst 3;Buitenkraan;EA;;a;;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
