;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: O.G. Helderingstichting;;;Naam monteur: J. Nederkoorn;;;;;;
Locatie: Gebouw CB oud& nieuw;;;Datum: Week 2 2015;;;;;;
Adres: Wageningsestraat 104, Zetten;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;Gang oudbouw;Brandslanghaspel W.cbo.1;EA;Onder BSH;a;Ø22;Knel;
2;1e verd.;Gang oudbouw;Brandslanghaspel W.cbo.2;EA;Onder BSH;a;Ø22;Knel;
3;2e verd.;Gang oudbouw;Brandslanghaspel W.cbo.3;EA;Onder BSH;a;Ø22;Knel;
4;B.G.;Gang nieuwbouw;Brandslanghaspel CBN 1;EA;;a;;;
5;B.G.;Gang kantoren nieuwbouw;Brandslanghaspel CBN 2;EA;;a;;;
6;1e verd.;Gang bij keuken;Brandslanghaspel CBN 3;EA;;a;;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
