;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: O.G. Helderingstichting;;;Naam monteur: J. Nederkoorn;;;;;;
Locatie: Gebouw Steenbeek-Havik;;;Datum: Week 2 2015;;;;;;
Adres: Wageningsestraat 104, Zetten;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;CV ruimte Havik R11;Buitenkraan;EA;In CV ruimte;a;Ø15;Knel;
2;B.G.;CV ruimte Havik R11;CV vulkraan;CA;In CV ruimte;a;1/2" bi;Schroef;
3;B.G.;Terras Havik R11;Buitenkraan;EA;;a;;;
4;B.G.;Gang Havik R11;Brandslanghaspel R11-1;EA;;a;;;
5;1e verd.;Gang Havik R11;Brandslanghaspel R11-2;EA;In kast BSH;a;Ø22;Knel;
6;B.G.;Tussenstuk R13;Buitenkraan;EA;In CV ruimte R13;a;Ø15;Knel;
7;B.G.;Tussenstuk gang;Brandslanghaspel R13-1;EA;;a;;;
8;1e verd.;Tussenstuk;Brandslanghaspel R13-2;EA;In kast BSH;a;Ø22;Pers;
9;B.G.;Steenbeek R17;Brandslanghaspel R17-1;EA;;a;;;
10;1e verd.;Steenbeek R19;Brandslanghaspel R;EA;;a;;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
