;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: O.G. Helderingstichting;;;Naam monteur: J. Nederkoorn;;;;;;
Locatie: Het Groote Huys;;;Datum: Week 3 2015;;;;;;
Adres: Wageningsestraat 104, Zetten;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;-1;Gang;Brandslanghaspel V9-1;EA;In kast BSH;a;Ø22;Knel;
2;B.G.;Gang;Brandslanghaspel V9-2;EA;In kast BSH;a;Ø22;Knel;
3;1e verd.;Gang;Brandslanghaspel V9-3;EA;In kast BSH;a;Ø22;Knel;
4;2e verd.;Gang;Brandslanghaspel V9-4;EA;In kast BSH;a;Ø22;Knel;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
