;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Oosterpoort;;;Naam monteur: J. Nederkoorn;;;;;;
Locatie: -;;;Week: November, 2015;;;;;;
Adres: 53rd. Welsh Divisionplein 1, Den Bosch;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;1e verd.;Overloop ;Brandslanghaspel 5;EA;In kelder;a;Ø22;Knel;
;;;;;;;;;
2;-1;Overloop ;Brandslanghaspel ;EA;In kelder;a;Ø22;Knel;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
