;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Oosterpoort;;;Naam monteur: J. Nederkoorn;;;;;;
Locatie: Traverse 37-39 & 111-113;;;Week: November, 2015;;;;;;
Adres: Grave;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
Traverse 111 - 113;;;;;;;;;
1;BG;Meterkast hal;Brandslanghaspel 1;EA;In meterkast;a;Ø15;Knel;
2;1e verd.;Trappenhal;Brandslanghaspel 2;EA;Boven in trappenhal;a;Ø15;Knel;
3;BG;Hal meterkast;Brandslanghaspel 4;EA;In meterkast;a;Ø15;Knel;
4;BG;Voordeur;Buitenkraan;EA;In meterkast;a;Ø15;Knel;
5;1e verd.;Trappenhal;Brandslanghaspel 5;EA;Boven in trappenhal;a;Ø15;Knel;
;;;;;;;;;
Traverse 37-39;;;;;;;;;
1;BG;Meterkast 37;Tapkraan;RAM-EA;In meterkast;a;Ø15;Knel;
2;BG;Meterkast 39;Buitenkraan;RAM-EA;In meterkast;a;Ø15;Knel;
3;2e;Ketelruimte;CV Vulkraan;RAM EA;Onder Ketel;a;Ø15;Knel;
6;BG;Wasruimte;Buitenkraan;RAM EA;Naast wasmachine;a;Ø15;Knel;
7;2e;Zolder 111;CV Vulkraan;EA;Onder Ketel;a;Ø15;Knel;
8;2e;Zolder 113;CV Vulkraan;EA;Naast ketel;a;Ø15;Knel;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
