;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Oosterpoort;;;Naam monteur: J. Nederkoorn;;;;;;
Locatie: -;;;Week: November, 2015;;;;;;
Adres: Kromland 30-36, Ravenstein;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;Hal huisnummer 30;Brandslanghaspel mini 20m;RAM EA;In meterkast;a;Ø15;Knel;
2;B.G.;Hal huisnummer 32;Brandslanghaspel mini 20m;RAM EA;In meterkast;a;Ø15;Knel;
3;B.G.;Hal huisnummer 34;Brandslanghaspel 20m 3/4";RAM EA;In kruipruimte;a;Ø15;Knel;
4;B.G.;Hal huisnummer 36;Brandslanghaspel mini 20m;RAM EA;In meterkast;a;Ø15;Knel;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
