;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: M. Gutte;;;;;;
Locatie: Villa Villandry;;;Week 20, 2015;;;;;;
Adres: Bosweg 160, Nijmegen;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;Bij deur keuken;Brandslanghaspel;;;a;;;
2;B.G.;Links keuken;Brandslanghaspel;;;a;;;
3;1e verd.;Kantine;Brandslanghaspel;;;a;;;
;2e verd.;Zolder ;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;2e verdieping zitten 2 brandslanghaspels ivm terugpersen, maar kan niet gevonden worden. Nog uitzoeken.;;;;;;;
