;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: Marty Gutte;;;;;;
Locatie: Armhoefse Akker;;;Datum: april 2015;;;;;;
Adres: Van Heutszstraat 1a, Tilburg;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Hal;Brandslanghaspel;;;a;;;
2;BG;Gang bij lokaal;Watermengkraan;DA-EB;;a;1/2;schroef;
3;BG;Gang lokalen;Brandslanghaspel;;;a;;;
4;BG;Speelplaats;Buitenkraan;;;a;;;
5;BG;Fietsenstalling;Buitenkraan;;;a;;;
6;1e verd.;Koffiehoek;Vaatwasser;DA-EB;;a;1/2;schroef;
7;2e verd.;Zolder ketelhok;Vulkraan;EA;;a;Ø15;knel;
8;1e verd.;Gang lokalen;Brandslanghaspel; ;;a;;;
9;BG;Keuken;Vaatwasser;DA-EB;;a;1/2;schroef;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
