;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: Marty Gutte;;;;;;
Locatie: Dirigent;;;Datum: April, 2015;;;;;;
Adres: Dirigentenlaan 19, Tilburg;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
3;BG;Gang;Brandslanghaspel;;;a;;;
4;BG;Gang;Brandslanghaspel;EA;plafond;a;Ø22;knel;
9;BG;Grote keuken;Vaatwasser;EA;keuken;a;3/4;schroef;
12;BG;Gang;Brandslanghaspel;EA;plafond;a;Ø22;knel;
16;BG;Buiten bij marimba;Buitenkraan;;;a;;;
22;BG;Washok;Wasmachinekraan;DA-EB;achter wm;a;1/2;schroef;
23;BG;Washok;Wasmachinekraan;DA-EB;achter wm;a;1/2;schroef;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
