;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: Marty Gutte;;;;;;
Locatie: KDV Cuneradal;;;Datum: April, 2015;;;;;;
Adres: Cuneradal 17, Valkenswaard;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF)
1;BG;Hal;Brandslanghaspel;;;;a;;
7;BG;Koffieruimte;Vaatwasser;DA-EB;;;a;1/2;schroef
8;BG;Koffieruimte;kwk;DA-EB;;;a;1/2;schroef
9;BG;Washok;Wasmachinekraan;EA;;;a;3/4;schroef
10;BG;Buiten;Buitenkraan;EB-DA;;;a;1/2;schroef
11;BG;Gang;Brandslanghaspel;;;;a;;
14;BG;Zolder;Vulkraan;DA-EB;;Achter luchtpijp;a;1/2;schroef
15;BG;Buiten voor;Buitenkraan;EA;;Meterput;a;Ø15;knel
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
