;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: Marty Gutte;;;;;;
Locatie: Kindercrèche - Zuid;;;Datum: April 2015;;;;;;
Adres: Tafelbergstraat 135, Tilburg;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
3;BG;Gang;Brandslanghaspel;EA;;a;;;
4;BG;Eetkeuken;Vaatwasser;DA-EB;;a;1/2;schroef;
10;BG;Washok;Wasmachinekraan;DA-EB;achter wasmachine;a;1/2;schroef;
11;BG;Washok;Koudwaterkraan;EA;;a;3/4;schroef;
14;BG;Gang;Brandslanghaspel;EA;;a;;;
21;1e verd.;Archief;Wasmachinekraan;DA-EB;bij hok;a;1/2;schroef;
22;1e verd.;Archief;Koudwaterkraan;DA-EB;bij hok;a;1/2;schroef;
23;1e verd.;Koffiehoek;Brandslanghaspel;EA;onder haspel;a;Ø22;knel;
24;1e verd.;Koffiehoek;Vaatwasser;EA;in kastje;a;3/4;schroef;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
