;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: Marty Gutte;;;;;;
Locatie: Kindercentrum Schout;;;Datum: April, 2015;;;;;;
Adres: Schout Backstraat 43, Tilburg;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Hal;Buitenkraan;EA;meterkast;a;Ø15;knel;
2;BG;Hal;Vulkraan;DA-EB;ketelkast;a;1/2;schroef;
4;BG;Washok;Circulatieleiding;EA;washok;a;Ø15;knel;
5;BG;Gang;Brandslanghaspel;EA;in plafond;a;28;cap;
6;BG;Keuken;Vaatwasser;EA;in kast;a;3/4;schroef;
7;BG;Washok;Wasmachinekraan;EA;;a;3/4;schroef;
Bijgebouw:;;;;;;;;;
8;BG;Hal;Brandslanghaspel;;;a;;;
9;BG;Hal;Vulkraan;DA-EB;ketelkast;a;1/2;schroef;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
