;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens - Kinderstad;;;Naam monteur: Marty Gutte;;;;;;
Locatie: Trappenhuis;;;Datum: April, 2015;;;;;;
Adres: Langestraat 13, Tilburg;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;-1;Gang;Brandslanghaspel;EA;;a;;;
2;-1;Lokaal rechts;Vaatwasser;EA;;a;;;
5;1e verd.;Keuken;Watermengkraan;EA;;a;;;
6;1e verd.;Keuken;Vaatwasser;EA;;a;;;
8;1e verd.;Gang;Brandslanghaspel;EA;;a;;;
9;2e verd.;Gang;Brandslanghaspel;EA;;a;;;
10;3e verd.;Ketelhok;Vulkraan;EA;;a;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
