;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: Marty Gutte;;;;;;
Locatie: Dondersteentje;;;Datum: April 2015;;;;;;
Adres: Willem Smuldersplein 4a, Waalre;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF)
2;BG;Gang BSO;Brandslanghaspel;;;;a;;
4;BG;Keuken BSO;Vaatwasser;DA-EB;;;a;1/2;knel
5;BG;Washok BSO;Wasmachinekraan;DA-EB;;;a;1/2;knel
6;BG;Keuken kantoor BSO;Vaatwasser;DA-EB;;;a;1/2;knel
7;-1;Kelder;Vulkraan;CA;;;a;1/2;knel
8;BG;Gang;Brandslanghaspel;;;;a;;
13;BG;Gang;Brandslanghaspel;EA;;onder BSH;a;Ø22;knel
15;BG;Buiten;Vorst buitenkraan;;;;Testen niet mogelijk;;
16;BG;Buiten;Vorst buitenkraan;;;;Testen niet mogelijk;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
