;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Kemkens;;;Naam monteur: Marty Gutte;;;;;;
Locatie: Kantoor smutslaan;;;Datum: April, 2015;;;;;;
Adres: Generaal Smutslaan 13, Tilburg;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Ingang atelier;Brandslanghaspel;EA;;a;Ø22;knel;
3;BG;Gang;Brandslanghaspel;EA;onder haspel;a;Ø22;knel;
5;BG;Keuken;Koffie apparaat;EA;achter vw;a;2/4;schroef;
6;BG;Ketelhok achter;Vulkraan;CA;in ketelhok;a;1/2;schroef;
7;BG;Vergaderzaal;Koffie apparaat;EA;onder kast;a;3/4;schroef;
8;BG;Kantoor;Brandslanghaspel;;onder haspel;a;Ø22;knel;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
